citations_fetched,id,published,publisher,source,categories,pdf_url,doi,title,abstract,all_categories,authors,citations
True,http://arxiv.org/abs/1903.08801v1,2019-03-21T02:17:08Z,,arXiv,cs.LG,http://arxiv.org/pdf/1903.08801v1.pdf,1903.08801v1,A Unified Analytical Framework for Trustable Machine Learning and   Automation Running with Blockchain,"Traditional machine learning algorithms use data from databases that are mutable, and therefore the data cannot be fully trusted. Also, the machine learning process is difficult to automate. This paper proposes building a trustable machine learning system by using blockchain technology, which can store data in a permanent and immutable way. In addition, smart contracts are used to automate the machine learning process. This paper makes three contributions. First, it establishes a link between machine learning technology and blockchain technology. Previously, machine learning and blockchain have been considered two independent technologies without an obvious link. Second, it proposes a unified analytical framework for trustable machine learning by using blockchain technology. This unified framework solves both the trustability and automation issues in machine learning. Third, it enables a computer to translate core machine learning implementation from a single thread on a single machine to multiple threads on multiple machines running with blockchain by using a unified approach. The paper uses association rule mining as an example to demonstrate how trustable machine learning can be implemented with blockchain, and it shows how this approach can be used to analyze opioid prescriptions to help combat the opioid crisis.","cs.LG, cs.CR",Tao Wang,[]
True,http://arxiv.org/abs/1707.09562v3,2017-07-29T21:59:18Z,,arXiv,cs.DC,http://arxiv.org/pdf/1707.09562v3.pdf,1707.09562v3,MLBench: How Good Are Machine Learning Clouds for Binary Classification   Tasks on Structured Data?,"We conduct an empirical study of machine learning functionalities provided by major cloud service providers, which we call machine learning clouds. Machine learning clouds hold the promise of hiding all the sophistication of running large-scale machine learning: Instead of specifying how to run a machine learning task, users only specify what machine learning task to run and the cloud figures out the rest. Raising the level of abstraction, however, rarely comes free - a performance penalty is possible. How good, then, are current machine learning clouds on real-world machine learning workloads?   We study this question with a focus on binary classication problems. We present mlbench, a novel benchmark constructed by harvesting datasets from Kaggle competitions. We then compare the performance of the top winning code available from Kaggle with that of running machine learning clouds from both Azure and Amazon on mlbench. Our comparative study reveals the strength and weakness of existing machine learning clouds and points out potential future directions for improvement.","cs.DC, cs.LG, stat.ML","Yu Liu, Hantian Zhang, Luyuan Zeng, Wentao Wu, Ce Zhang",[]
True,http://arxiv.org/abs/2108.07915v1,2021-08-18T00:57:06Z,,arXiv,cs.LG,http://arxiv.org/pdf/2108.07915v1.pdf,2108.07915v1,Data Pricing in Machine Learning Pipelines,"Machine learning is disruptive. At the same time, machine learning can only succeed by collaboration among many parties in multiple steps naturally as pipelines in an eco-system, such as collecting data for possible machine learning applications, collaboratively training models by multiple parties and delivering machine learning services to end users. Data is critical and penetrating in the whole machine learning pipelines. As machine learning pipelines involve many parties and, in order to be successful, have to form a constructive and dynamic eco-system, marketplaces and data pricing are fundamental in connecting and facilitating those many parties. In this article, we survey the principles and the latest research development of data pricing in machine learning pipelines. We start with a brief review of data marketplaces and pricing desiderata. Then, we focus on pricing in three important steps in machine learning pipelines. To understand pricing in the step of training data collection, we review pricing raw data sets and data labels. We also investigate pricing in the step of collaborative training of machine learning models, and overview pricing machine learning models for end users in the step of machine learning deployment. We also discuss a series of possible future directions.",cs.LG,"Zicun Cong, Xuan Luo, Pei Jian, Feida Zhu, Yong Zhang",[]
True,http://arxiv.org/abs/1907.08908v1,2019-07-21T04:03:36Z,,arXiv,cs.LG,http://arxiv.org/pdf/1907.08908v1.pdf,1907.08908v1,Techniques for Automated Machine Learning,"Automated machine learning (AutoML) aims to find optimal machine learning solutions automatically given a machine learning problem. It could release the burden of data scientists from the multifarious manual tuning process and enable the access of domain experts to the off-the-shelf machine learning solutions without extensive experience. In this paper, we review the current developments of AutoML in terms of three categories, automated feature engineering (AutoFE), automated model and hyperparameter learning (AutoMHL), and automated deep learning (AutoDL). State-of-the-art techniques adopted in the three categories are presented, including Bayesian optimization, reinforcement learning, evolutionary algorithm, and gradient-based approaches. We summarize popular AutoML frameworks and conclude with current open challenges of AutoML.","cs.LG, cs.AI, stat.ML","Yi-Wei Chen, Qingquan Song, Xia Hu",[]
True,http://arxiv.org/abs/2312.03120v1,2023-12-05T20:40:05Z,,arXiv,cs.LG,http://arxiv.org/pdf/2312.03120v1.pdf,2312.03120v1,"The Landscape of Modern Machine Learning: A Review of Machine,   Distributed and Federated Learning","With the advance of the powerful heterogeneous, parallel and distributed computing systems and ever increasing immense amount of data, machine learning has become an indispensable part of cutting-edge technology, scientific research and consumer products. In this study, we present a review of modern machine and deep learning. We provide a high-level overview for the latest advanced machine learning algorithms, applications, and frameworks. Our discussion encompasses parallel distributed learning, deep learning as well as federated learning. As a result, our work serves as an introductory text to the vast field of modern machine learning.","cs.LG, cs.AI, cs.DC","Omer Subasi, Oceane Bel, Joseph Manzano, Kevin Barker",[]
True,http://arxiv.org/abs/2206.07090v2,2022-05-08T03:47:30Z,,arXiv,cs.DC,http://arxiv.org/pdf/2206.07090v2.pdf,2206.07090v2,Parallelization of Machine Learning Algorithms Respectively on Single   Machine and Spark,"With the rapid development of big data technologies, how to dig out useful information from massive data becomes an essential problem. However, using machine learning algorithms to analyze large data may be time-consuming and inefficient on the traditional single machine. To solve these problems, this paper has made some research on the parallelization of several classic machine learning algorithms respectively on the single machine and the big data platform Spark. We compare the runtime and efficiency of traditional machine learning algorithms with parallelized machine learning algorithms respectively on the single machine and Spark platform. The research results have shown significant improvement in runtime and efficiency of parallelized machine learning algorithms.",cs.DC,Jiajun Shen,[]
True,http://arxiv.org/abs/1507.02188v1,2015-07-08T15:07:39Z,,arXiv,stat.ML,http://arxiv.org/pdf/1507.02188v1.pdf,1507.02188v1,AutoCompete: A Framework for Machine Learning Competition,"In this paper, we propose AutoCompete, a highly automated machine learning framework for tackling machine learning competitions. This framework has been learned by us, validated and improved over a period of more than two years by participating in online machine learning competitions. It aims at minimizing human interference required to build a first useful predictive model and to assess the practical difficulty of a given machine learning challenge. The proposed system helps in identifying data types, choosing a machine learn- ing model, tuning hyper-parameters, avoiding over-fitting and optimization for a provided evaluation metric. We also observe that the proposed system produces better (or comparable) results with less runtime as compared to other approaches.","stat.ML, cs.LG","Abhishek Thakur, Artus Krohn-Grimberghe",[]
True,http://arxiv.org/abs/1212.2686v1,2012-12-12T01:59:27Z,,arXiv,stat.ML,http://arxiv.org/pdf/1212.2686v1.pdf,1212.2686v1,Joint Training of Deep Boltzmann Machines,"We introduce a new method for training deep Boltzmann machines jointly. Prior methods require an initial learning pass that trains the deep Boltzmann machine greedily, one layer at a time, or do not perform well on classifi- cation tasks.","stat.ML, cs.LG","Ian Goodfellow, Aaron Courville, Yoshua Bengio",[]
True,http://arxiv.org/abs/2001.04942v2,2020-01-14T17:56:16Z,,arXiv,cs.LG,http://arxiv.org/pdf/2001.04942v2.pdf,2001.04942v2,Private Machine Learning via Randomised Response,We introduce a general learning framework for private machine learning based on randomised response. Our assumption is that all actors are potentially adversarial and as such we trust only to release a single noisy version of an individual's datapoint. We discuss a general approach that forms a consistent way to estimate the true underlying machine learning model and demonstrate this in the case of logistic regression.,"cs.LG, stat.ML",David Barber,[]
True,http://arxiv.org/abs/1607.02450v2,2016-07-08T16:55:31Z,,arXiv,stat.ML,http://arxiv.org/pdf/1607.02450v2.pdf,1607.02450v2,Proceedings of the 2016 ICML Workshop on #Data4Good: Machine Learning in   Social Good Applications,"This is the Proceedings of the ICML Workshop on #Data4Good: Machine Learning in Social Good Applications, which was held on June 24, 2016 in New York.","stat.ML, cs.CY, cs.LG",Kush R. Varshney,[]
True,http://arxiv.org/abs/2007.01503v1,2020-07-03T05:26:02Z,,arXiv,cs.LG,http://arxiv.org/pdf/2007.01503v1.pdf,2007.01503v1,Mathematical Perspective of Machine Learning,"We take a closer look at some theoretical challenges of Machine Learning as a function approximation, gradient descent as the default optimization algorithm, limitations of fixed length and width networks and a different approach to RNNs from a mathematical perspective.","cs.LG, stat.ML, 68T07",Yarema Boryshchak,[]
True,http://arxiv.org/abs/1911.00776v1,2019-11-02T19:53:32Z,,arXiv,cs.LG,http://arxiv.org/pdf/1911.00776v1.pdf,1911.00776v1,Ten-year Survival Prediction for Breast Cancer Patients,This report assesses different machine learning approaches to 10-year survival prediction of breast cancer patients.,"cs.LG, stat.ML","Changmao Li, Han He, Yunze Hao, Caleb Ziems",[]
True,http://arxiv.org/abs/1906.06821v2,2019-06-17T02:54:51Z,,arXiv,cs.LG,http://arxiv.org/pdf/1906.06821v2.pdf,1906.06821v2,A Survey of Optimization Methods from a Machine Learning Perspective,"Machine learning develops rapidly, which has made many theoretical breakthroughs and is widely applied in various fields. Optimization, as an important part of machine learning, has attracted much attention of researchers. With the exponential growth of data amount and the increase of model complexity, optimization methods in machine learning face more and more challenges. A lot of work on solving optimization problems or improving optimization methods in machine learning has been proposed successively. The systematic retrospect and summary of the optimization methods from the perspective of machine learning are of great significance, which can offer guidance for both developments of optimization and machine learning research. In this paper, we first describe the optimization problems in machine learning. Then, we introduce the principles and progresses of commonly used optimization methods. Next, we summarize the applications and developments of optimization methods in some popular machine learning fields. Finally, we explore and give some challenges and open problems for the optimization in machine learning.","cs.LG, math.OC, stat.ML","Shiliang Sun, Zehui Cao, Han Zhu, Jing Zhao",[]
True,http://arxiv.org/abs/2011.11819v1,2020-11-24T00:52:49Z,,arXiv,cs.LG,http://arxiv.org/pdf/2011.11819v1.pdf,2011.11819v1,When Machine Learning Meets Privacy: A Survey and Outlook,"The newly emerged machine learning (e.g. deep learning) methods have become a strong driving force to revolutionize a wide range of industries, such as smart healthcare, financial technology, and surveillance systems. Meanwhile, privacy has emerged as a big concern in this machine learning-based artificial intelligence era. It is important to note that the problem of privacy preservation in the context of machine learning is quite different from that in traditional data privacy protection, as machine learning can act as both friend and foe. Currently, the work on the preservation of privacy and machine learning (ML) is still in an infancy stage, as most existing solutions only focus on privacy problems during the machine learning process. Therefore, a comprehensive study on the privacy preservation problems and machine learning is required. This paper surveys the state of the art in privacy issues and solutions for machine learning. The survey covers three categories of interactions between privacy and machine learning: (i) private machine learning, (ii) machine learning aided privacy protection, and (iii) machine learning-based privacy attack and corresponding protection schemes. The current research progress in each category is reviewed and the key challenges are identified. Finally, based on our in-depth analysis of the area of privacy and machine learning, we point out future research directions in this field.","cs.LG, cs.AI, cs.CR","Bo Liu, Ming Ding, Sina Shaham, Wenny Rahayu, Farhad Farokhi, Zihuai Lin",[]
True,http://arxiv.org/abs/2004.00993v2,2020-03-31T18:08:23Z,,arXiv,cs.LG,http://arxiv.org/pdf/2004.00993v2.pdf,2004.00993v2,Augmented Q Imitation Learning (AQIL),"The study of unsupervised learning can be generally divided into two categories: imitation learning and reinforcement learning. In imitation learning the machine learns by mimicking the behavior of an expert system whereas in reinforcement learning the machine learns via direct environment feedback. Traditional deep reinforcement learning takes a significant time before the machine starts to converge to an optimal policy. This paper proposes Augmented Q-Imitation-Learning, a method by which deep reinforcement learning convergence can be accelerated by applying Q-imitation-learning as the initial training process in traditional Deep Q-learning.","cs.LG, cs.AI","Xiao Lei Zhang, Anish Agarwal",[]
True,http://arxiv.org/abs/2009.11087v1,2020-09-23T12:14:05Z,,arXiv,stat.ML,http://arxiv.org/pdf/2009.11087v1.pdf,2009.11087v1,Probabilistic Machine Learning for Healthcare,"Machine learning can be used to make sense of healthcare data. Probabilistic machine learning models help provide a complete picture of observed data in healthcare. In this review, we examine how probabilistic machine learning can advance healthcare. We consider challenges in the predictive model building pipeline where probabilistic models can be beneficial including calibration and missing data. Beyond predictive models, we also investigate the utility of probabilistic machine learning models in phenotyping, in generative models for clinical use cases, and in reinforcement learning.","stat.ML, cs.CY, cs.LG","Irene Y. Chen, Shalmali Joshi, Marzyeh Ghassemi, Rajesh Ranganath",[]
True,http://arxiv.org/abs/2303.18087v1,2023-03-31T14:24:06Z,,arXiv,cs.LG,http://arxiv.org/pdf/2303.18087v1.pdf,2303.18087v1,Evaluation Challenges for Geospatial ML,"As geospatial machine learning models and maps derived from their predictions are increasingly used for downstream analyses in science and policy, it is imperative to evaluate their accuracy and applicability. Geospatial machine learning has key distinctions from other learning paradigms, and as such, the correct way to measure performance of spatial machine learning outputs has been a topic of debate. In this paper, I delineate unique challenges of model evaluation for geospatial machine learning with global or remotely sensed datasets, culminating in concrete takeaways to improve evaluations of geospatial model performance.","cs.LG, stat.ML",Esther Rolf,[]
True,http://arxiv.org/abs/2401.11351v2,2024-01-21T00:19:16Z,IOP Publishing,arXiv,quant-ph,http://arxiv.org/pdf/2401.11351v2.pdf,10.1088/1361-6633/ad7f69,A comprehensive review of Quantum Machine Learning: from NISQ to Fault   Tolerance,"Quantum machine learning, which involves running machine learning algorithms on quantum devices, has garnered significant attention in both academic and business circles. In this paper, we offer a comprehensive and unbiased review of the various concepts that have emerged in the field of quantum machine learning. This includes techniques used in Noisy Intermediate-Scale Quantum (NISQ) technologies and approaches for algorithms compatible with fault-tolerant quantum computing hardware. Our review covers fundamental concepts, algorithms, and the statistical learning theory pertinent to quantum machine learning.","quant-ph, cs.AI, cs.LG, stat.ML","Yunfei Wang, Junyu Liu","['10.1038/nphys3272', '10.1137/18m120275x', '10.1145/3313276.3316378', '10.1162/089976698300017746', '10.1088/2058-9565/ac3e54', '10.1088/2632-2153/abf3ac', '10.1140/epjc/s10052-019-6607-9', '10.22331/q-2021-10-05-558', '10.1088/2058-9565/ac7d06', '10.1088/1367-2630/17/12/123010', '10.22331/q-2020-04-20-256', '10.21203/rs.3.rs-3023549/v1', '10.1038/s41534-019-0157-8', '10.1103/physrevresearch.3.033083', '10.1038/nature23474', '10.1007/s42484-023-00132-1', '10.1103/physrevlett.127.120502', '10.22331/q-2023-11-22-1188', '10.1103/physreva.105.062431', '10.1088/2058-9565/acb56a', '10.1038/s41534-023-00801-w', '10.22331/q-2023-07-13-1060', '10.1038/s41467-021-21728-w', '10.1038/s41534-022-00611-6', '10.1038/s43588-022-00311-3', '10.22331/q-2023-04-13-974', '10.1103/prxquantum.2.030348', '10.3390/e20080583', '10.1145/3357713.3384314', '10.1137/16m1087072', '10.1098/rspa.2017.0551', '10.1103/prxquantum.2.010324', '10.1007/jhep11(2017)048', '10.22331/q-2021-11-26-592', '10.1103/prxquantum.3.040329', '10.22331/qv-2020-03-17-32', '10.1038/s42254-022-00535-2', '10.7566/jpsj.90.032001', '10.1038/s41534-019-0240-1', '10.1145/3313276.3316366', '10.1088/1367-2630/14/10/103013', '10.1038/s41467-019-10988-2', '10.1145/237814.237866', '10.1126/science.1257219', '10.1016/j.physrep.2008.09.003', '10.1103/physrevresearch.4.043100', '10.1103/physrevlett.123.250501', '10.1103/physrevlett.126.140502', '10.1103/physrevlett.103.150502', '10.1137/1.9781611974782.105', '10.1038/s41586-019-0980-2', '10.1103/prxquantum.3.010313', '10.1038/s41567-020-0932-7', '10.1038/s41467-021-22539-9', '10.1103/physrevlett.127.030503', '10.1103/physrevlett.126.190505', '10.1126/science.abn7293', '10.1126/science.abk3333', '10.1088/2058-9565/abdbc9', '10.1561/2200000058', '10.1038/s41467-023-36159-y', '10.1038/nature23879', '10.1103/physrevlett.120.110501', '10.22331/q-2022-08-16-776', '10.1088/2058-9565/abfc94', '10.1063/1.5089550', '10.1038/s42254-020-0230-4', '10.1038/s43588-023-00467-6', '10.1103/physreva.102.032420', '10.1038/s41534-019-0167-6', '10.1021/acs.jctc.8b01004', '10.1103/physrevresearch.2.023074', '10.1103/physrevd.98.086026', '10.1103/physrevresearch.2.043164', '10.1103/prxquantum.3.030323', '10.1073/pnas.2026805118', '10.1038/s41567-021-01287-z', '10.1126/science.273.5278.1073', '10.1038/nphys3029', '10.1103/physreva.101.010301', '10.1038/s41534-019-0187-2', '10.1088/1367-2630/18/2/023023', '10.1038/s41467-018-07090-4', '10.1038/nature00801', '10.1103/physrevresearch.1.013006', '10.1088/2058-9565/aab822', '10.1103/physrevresearch.2.043158', '10.1038/nature08967', '10.22331/q-2021-01-28-391', '10.1103/physrevresearch.3.033090', '10.22331/q-2020-02-06-226', '10.1038/ncomms5213', '10.22331/q-2018-08-06-79', '10.1103/physrevlett.113.130503', '10.1007/jhep04(2017)121', '10.1080/00107514.2019.1667078', '10.1103/physreva.94.022342', '10.1088/1367-2630/ab784c', '10.1103/physrevlett.128.180505', '10.1103/physrevlett.128.070501', '10.1103/physrevlett.128.070501aaaa', '10.1103/physrevlett.119.180511', '10.22331/q-2020-05-25-269', '10.1103/prxquantum.2.010307', '10.1103/physrevlett.122.060504', '10.1007/bf01609348', '10.22331/q-2020-08-31-314', '10.1103/physrevlett.127.060503', '10.1103/physrevresearch.2.043364', '10.1002/qua.21198', '10.1103/physrevlett.119.180509', '10.1038/s41467-024-49287-w', '10.1088/1751-8121/abfac7', '10.1038/s41467-021-27045-6', '10.22331/q-2021-08-30-531', '10.1103/physrevresearch.2.033446', '10.1103/physreva.92.042303', '10.1103/physrevlett.112.190501', '10.1088/1367-2630/17/2/022005', '10.1103/physrevlett.120.050502', '10.21203/rs.3.rs-3691498/v1', '10.1109/tkde.2019.2937491', '10.1038/srep03589', '10.1088/2632-2153/abcb50']"
True,http://arxiv.org/abs/2003.05155v2,2020-03-11T08:25:49Z,,arXiv,cs.LG,http://arxiv.org/pdf/2003.05155v2.pdf,2003.05155v2,Towards CRISP-ML(Q): A Machine Learning Process Model with Quality   Assurance Methodology,"Machine learning is an established and frequently used technique in industry and academia but a standard process model to improve success and efficiency of machine learning applications is still missing. Project organizations and machine learning practitioners have a need for guidance throughout the life cycle of a machine learning application to meet business expectations. We therefore propose a process model for the development of machine learning applications, that covers six phases from defining the scope to maintaining the deployed machine learning application. The first phase combines business and data understanding as data availability oftentimes affects the feasibility of the project. The sixth phase covers state-of-the-art approaches for monitoring and maintenance of a machine learning applications, as the risk of model degradation in a changing environment is eminent. With each task of the process, we propose quality assurance methodology that is suitable to adress challenges in machine learning development that we identify in form of risks. The methodology is drawn from practical experience and scientific literature and has proven to be general and stable. The process model expands on CRISP-DM, a data mining process model that enjoys strong industry support but lacks to address machine learning specific tasks. Our work proposes an industry and application neutral process model tailored for machine learning applications with focus on technical tasks for quality assurance.","cs.LG, cs.SE, stat.ML","Stefan Studer, Thanh Binh Bui, Christian Drescher, Alexander Hanuschkin, Ludwig Winkler, Steven Peters, Klaus-Robert Mueller",[]
True,http://arxiv.org/abs/1706.08001v1,2017-06-24T20:56:27Z,,arXiv,cs.AI,http://arxiv.org/pdf/1706.08001v1.pdf,1706.08001v1,Temporal-related Convolutional-Restricted-Boltzmann-Machine capable of   learning relational order via reinforcement learning procedure?,"In this article, we extend the conventional framework of convolutional-Restricted-Boltzmann-Machine to learn highly abstract features among abitrary number of time related input maps by constructing a layer of multiplicative units, which capture the relations among inputs. In many cases, more than two maps are strongly related, so it is wise to make multiplicative unit learn relations among more input maps, in other words, to find the optimal relational-order of each unit. In order to enable our machine to learn relational order, we developed a reinforcement-learning method whose optimality is proven to train the network.","cs.AI, cs.LG, stat.ML",Zizhuang Wang,[]
True,http://arxiv.org/abs/2405.03720v1,2024-05-05T20:39:15Z,,arXiv,cs.LG,http://arxiv.org/pdf/2405.03720v1.pdf,2405.03720v1,Spatial Transfer Learning with Simple MLP,First step to investigate the potential of transfer learning applied to the field of spatial statistics,"cs.LG, stat.ME, stat.ML",Hongjian Yang,[]
True,http://arxiv.org/abs/1603.02185v1,2016-03-07T18:11:54Z,,arXiv,cs.LG,http://arxiv.org/pdf/1603.02185v1.pdf,1603.02185v1,Distributed Multi-Task Learning with Shared Representation,"We study the problem of distributed multi-task learning with shared representation, where each machine aims to learn a separate, but related, task in an unknown shared low-dimensional subspaces, i.e. when the predictor matrix has low rank. We consider a setting where each task is handled by a different machine, with samples for the task available locally on the machine, and study communication-efficient methods for exploiting the shared structure.","cs.LG, stat.ML","Jialei Wang, Mladen Kolar, Nathan Srebro",[]
True,http://arxiv.org/abs/1207.4676v2,2012-07-19T14:08:22Z,,arXiv,cs.LG,http://arxiv.org/pdf/1207.4676v2.pdf,1207.4676v2,Proceedings of the 29th International Conference on Machine Learning   (ICML-12),"This is an index to the papers that appear in the Proceedings of the 29th International Conference on Machine Learning (ICML-12). The conference was held in Edinburgh, Scotland, June 27th - July 3rd, 2012.","cs.LG, stat.ML","John Langford, Joelle Pineau",[]
True,http://arxiv.org/abs/1910.12387v2,2019-10-25T17:33:33Z,,arXiv,cs.LG,http://arxiv.org/pdf/1910.12387v2.pdf,1910.12387v2,Components of Machine Learning: Binding Bits and FLOPS,"Many machine learning problems and methods are combinations of three components: data, hypothesis space and loss function. Different machine learning methods are obtained as combinations of different choices for the representation of data, hypothesis space and loss function. After reviewing the mathematical structure of these three components, we discuss intrinsic trade-offs between statistical and computational properties of machine learning methods.",cs.LG,Alexander Jung,[]
True,http://arxiv.org/abs/2007.05479v1,2020-07-10T16:57:18Z,,arXiv,cs.AI,http://arxiv.org/pdf/2007.05479v1.pdf,2007.05479v1,Impact of Legal Requirements on Explainability in Machine Learning,"The requirements on explainability imposed by European laws and their implications for machine learning (ML) models are not always clear. In that perspective, our research analyzes explanation obligations imposed for private and public decision-making, and how they can be implemented by machine learning techniques.","cs.AI, cs.CY, cs.LG","Adrien Bibal, Michael Lognoul, Alexandre de Streel, Benoît Frénay",[]
